iter	RMSE
0	2.043424056
1	1.913788161
2	1.802974987
3	1.709282951
4	1.631225913
5	1.565423186
6	1.509797125
7	1.464873153
8	1.424326086
9	1.393771874
10	1.364382296
11	1.341520432
12	1.322312065
13	1.306408786
14	1.287731131
15	1.272571254
16	1.259307058
17	1.25026292
18	1.240203644
19	1.231783289
20	1.22405761
21	1.218226161
22	1.213344114
23	1.208587053
24	1.204694854
25	1.201252307
26	1.196817598
27	1.193343309
28	1.189830951
29	1.18636242
30	1.182968617
31	1.180667018
32	1.178536542
33	1.176111991
34	1.17464557
35	1.17315627
36	1.171044133
37	1.16819807
38	1.165884386
39	1.164596041
40	1.163123128
41	1.161522905
42	1.160727816
43	1.159353463
44	1.157789812
45	1.156325924
46	1.155520346
47	1.15422691
48	1.153275138
49	1.15208581
50	1.15058821
51	1.149835211
52	1.149040571
53	1.148391727
54	1.147533635
55	1.147097144
56	1.146325899
57	1.145509403
58	1.144877347
59	1.14450201
60	1.143915845
61	1.143463408
62	1.142891047
63	1.142365582
64	1.141810608
65	1.141490948
66	1.14082102
67	1.139992902
68	1.139650042
69	1.139278962
70	1.138920874
71	1.138569684
72	1.138279774
73	1.137975304
74	1.137765412
75	1.137397017
76	1.136832257
77	1.136492311
78	1.136242945
79	1.136093931
80	1.135850449
81	1.135452081
82	1.13525461
83	1.135125833
84	1.134819118
85	1.134054447
86	1.13373162
87	1.133430301
88	1.133179214
89	1.132992683
90	1.132834976
91	1.132682704
92	1.132496971
93	1.132195404
94	1.131973797
95	1.13182675
96	1.131722078
97	1.131572848
98	1.131430121
99	1.131338052
100	1.131196037
101	1.131032237
102	1.130871174
103	1.130692809
104	1.130427636
105	1.130081086
106	1.129973277
107	1.129879401
108	1.129776336
109	1.129654818
110	1.129457347
111	1.1292946
112	1.129221544
113	1.128957077
114	1.128706379
115	1.128473637
116	1.128344773
117	1.128243676
118	1.128082264
119	1.127945643
120	1.127845266
121	1.127760221
122	1.127645423
123	1.127493829
124	1.127371024
125	1.127205073
126	1.127044965
127	1.12694777
128	1.126734843
129	1.126653632
130	1.126497029
131	1.126333689
132	1.126229596
133	1.126150052
134	1.126030235
135	1.125960702
136	1.125906166
137	1.125845244
138	1.125751894
139	1.125485442
140	1.125313215
141	1.12522419
142	1.125151478
143	1.125111921
