iter	Passed	Remaining
0	4	4926
1	8	4235
2	12	4065
3	17	4266
4	21	4217
5	24	4100
6	28	4045
7	31	3941
8	35	3880
9	38	3822
10	42	3796
11	45	3736
12	48	3688
13	51	3643
14	54	3604
15	58	3593
16	61	3556
17	64	3527
18	68	3511
19	70	3478
20	74	3468
21	77	3442
22	80	3419
23	84	3431
24	87	3416
25	91	3420
26	94	3404
27	97	3389
28	100	3381
29	104	3373
30	108	3377
31	118	3587
32	134	3936
33	145	4127
34	154	4258
35	162	4357
36	167	4357
37	171	4352
38	176	4343
39	181	4350
40	186	4354
41	190	4336
42	193	4306
43	197	4288
44	201	4274
45	205	4254
46	208	4228
47	212	4205
48	215	4182
49	218	4159
50	222	4136
51	225	4111
52	229	4106
53	233	4092
54	237	4078
55	241	4070
56	245	4059
57	248	4043
58	252	4027
59	255	4002
60	258	3980
61	261	3957
62	264	3938
63	268	3924
64	271	3905
65	274	3888
66	278	3872
67	281	3858
68	284	3845
69	288	3833
70	291	3818
71	294	3799
72	298	3784
73	301	3767
74	304	3754
75	307	3744
76	312	3744
77	317	3751
78	320	3740
79	323	3723
80	326	3709
81	330	3697
82	333	3684
83	336	3670
84	339	3657
85	343	3647
86	346	3641
87	350	3627
88	353	3617
89	356	3604
90	359	3589
91	362	3577
92	365	3567
93	369	3558
94	372	3548
95	375	3534
96	378	3522
97	381	3512
98	384	3503
99	387	3490
100	390	3476
101	394	3468
102	397	3458
103	400	3448
104	403	3438
105	406	3429
106	409	3421
107	412	3410
108	416	3404
109	419	3395
110	423	3390
111	426	3383
112	430	3375
113	433	3370
114	437	3364
115	440	3359
116	443	3350
117	447	3341
118	450	3335
119	453	3327
120	457	3321
121	460	3312
122	463	3303
123	466	3294
124	469	3284
125	472	3277
126	475	3268
127	478	3258
128	482	3254
129	484	3244
130	488	3240
131	491	3233
132	494	3226
133	497	3216
134	501	3210
135	504	3204
136	507	3196
137	510	3187
138	513	3180
139	516	3174
140	520	3169
141	523	3161
142	526	3153
143	529	3146
144	532	3138
145	535	3130
146	538	3124
147	541	3116
148	544	3111
149	547	3103
150	550	3097
151	553	3090
152	557	3085
153	560	3077
154	563	3069
155	565	3061
156	568	3054
157	572	3051
158	575	3046
159	579	3040
160	582	3034
161	585	3028
162	588	3021
163	591	3014
164	594	3007
165	597	3000
166	600	2994
167	603	2987
168	606	2981
169	609	2975
170	612	2968
171	615	2962
172	618	2956
173	621	2950
174	624	2943
175	627	2937
176	630	2931
177	633	2925
178	636	2918
179	639	2912
180	642	2908
181	646	2903
182	648	2897
183	651	2889
184	654	2884
185	658	2880
186	661	2874
187	664	2868
188	667	2863
189	670	2857
190	673	2853
191	676	2846
192	680	2844
193	683	2839
194	686	2833
195	689	2829
196	693	2825
197	696	2821
198	699	2815
199	703	2813
200	706	2808
201	709	2803
202	713	2800
203	717	2798
204	721	2798
205	725	2795
206	728	2792
207	732	2788
208	736	2785
209	739	2780
210	742	2777
211	745	2772
212	748	2766
213	752	2762
214	755	2756
215	757	2751
216	761	2746
217	764	2740
218	767	2736
219	770	2731
220	773	2725
221	776	2721
222	779	2716
223	782	2711
224	785	2705
225	788	2700
226	791	2696
227	794	2691
228	797	2686
229	801	2683
230	804	2678
231	807	2674
232	811	2669
233	814	2665
234	817	2660
235	820	2655
236	823	2651
237	826	2646
238	829	2641
239	832	2636
240	835	2631
241	838	2626
242	841	2621
243	844	2616
244	847	2612
245	850	2607
246	853	2602
247	856	2598
248	860	2594
249	863	2591
250	866	2586
251	869	2581
252	872	2576
253	875	2572
254	879	2568
255	882	2563
256	885	2559
257	888	2555
258	891	2550
259	895	2548
260	898	2543
261	903	2546
262	906	2541
263	910	2537
264	913	2534
265	918	2533
266	921	2531
267	926	2530
268	930	2528
269	933	2524
270	937	2521
271	941	2518
272	944	2516
273	948	2513
274	952	2511
275	956	2509
276	961	2508
277	964	2506
278	968	2502
279	972	2499
280	976	2497
281	980	2496
282	984	2493
283	987	2490
284	991	2487
285	995	2484
286	999	2483
287	1003	2480
288	1006	2477
289	1011	2476
290	1015	2474
291	1019	2472
292	1023	2470
293	1027	2468
294	1031	2464
295	1035	2461
296	1038	2458
297	1042	2455
298	1045	2452
299	1049	2448
300	1052	2445
301	1056	2440
302	1059	2436
303	1061	2431
304	1064	2426
305	1067	2422
306	1070	2417
307	1074	2413
308	1077	2409
309	1080	2404
310	1083	2399
311	1086	2395
312	1089	2390
313	1092	2386
314	1095	2382
315	1098	2378
316	1101	2373
317	1104	2368
318	1107	2365
319	1111	2360
320	1114	2356
321	1117	2352
322	1120	2347
323	1123	2344
324	1127	2340
325	1130	2336
326	1133	2332
327	1136	2327
328	1139	2323
329	1142	2318
330	1145	2314
331	1148	2310
332	1151	2305
333	1154	2301
334	1157	2296
335	1160	2293
336	1163	2289
337	1166	2285
338	1170	2281
339	1173	2277
340	1176	2273
341	1179	2268
342	1182	2264
343	1184	2259
344	1188	2255
345	1191	2251
346	1194	2248
347	1197	2244
348	1200	2239
349	1204	2236
350	1207	2232
351	1210	2228
352	1213	2223
353	1215	2218
354	1218	2214
355	1221	2210
356	1224	2205
357	1227	2201
358	1230	2197
359	1233	2193
360	1236	2189
361	1239	2185
362	1243	2181
363	1246	2177
364	1249	2173
365	1252	2168
366	1255	2165
367	1258	2160
368	1261	2156
369	1264	2152
370	1267	2148
371	1270	2144
372	1273	2140
373	1276	2136
374	1279	2132
375	1282	2128
376	1285	2124
377	1288	2120
378	1291	2116
379	1294	2112
380	1297	2107
381	1301	2105
382	1304	2101
383	1307	2097
384	1310	2094
385	1314	2090
386	1317	2086
387	1320	2082
388	1323	2078
389	1326	2074
390	1329	2070
391	1332	2066
392	1335	2062
393	1337	2057
394	1341	2055
395	1345	2051
396	1347	2047
397	1350	2042
398	1353	2039
